[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/FontAwesome.otf
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff2
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.ttf
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/font-awesome/migration/mapping.js
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/bounce.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/slideInUp.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-to-top-right.min.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-in.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css
[2025-04-03 20:41:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://azureskies.local/wp-content/plugins/elementor/assets/lib/animations/styles/shake.min.css
